blues
country
focus
funk
jazz
latin,latina
metal
mood
party,allegra,felice,festa
pop
pride
punk
raggae
rock
soul
chill
classical,classica
decades,decenni
dinner,cena
edm_dance,electronic,dance,elettronica,tecno
gaming,giochi
hiphop,hip hop,rap
indie_alt,indie,alternative
kids,bambini
kpop,k-pop
popculture,trending,top,trend
rnb,r&b
romance,romantica
roots,folk & acustic,triste
sleep,pausa,dormire,nostalgica
travel,viaggi
tv_movies,tv e film,film,televisione,tv
workout,allenamento,palestra,gym,training
