Rai 1,Rai 1,Rai uno
Rai 2,Rai 2,Rai due
Rai 3,Rai 3,Rai tre
Rete 4,Rete 4,rete quattro
Canale 5,Canale 5,Canale cinque
Italia 1,Italia 1,Italia uno
La 7,La 7,La sette
Tv 8,Tv 8,Tv otto
Nove,Nove
Rai 4,Rai 4,Rai quattro
Rai 5,Rai 5,Rai cinque
Rai movie,Rai movie
Iris,Iris
Venti,Venti
Spike,Spike
Cielo,Cielo
Paramount Network,Paramount Network,Paramount
