url,name,category,cost,imageURL,preparationTime,cookingTime,totalTime,yield,isLowNickel,isVegetarian,isLactoseFree,isGlutenFree,isLight,calories,carbs,sugar,protein,fat,saturatedFat,fiber,chol,sodium,bestRating,ratingCount,ratingValue
https://ricette.giallozafferano.it/Zuppa-di-legumi-e-cereali.html,"Zuppa di legumi e cereali","Primi piatti","Basso",https://www.giallozafferano.it/images/ricette/9/977/foto_hd/hd650x433_wm.jpg,PT15M,PT80M,PT95M,6,0,1,1,0,1,351,56.6,6.1,16,6.8,1.06,10.1,0,989,5,26,4.5
https://ricette.giallozafferano.it/Fusilli-al-pesto-di-pistacchi-e-pomodorini.html,"Fusilli al pesto di pistacchi e pomodorini","Primi piatti","Medio",https://www.giallozafferano.it/images/ricette/169/16944/foto_hd/hd650x433_wm.jpg,PT20M,PT15M,PT35M,4,0,1,1,0,0,648,74.8,9.6,17,31.2,4.88,7.1,3,622,5,40,4.6
https://ricette.giallozafferano.it/Pollo-e-gamberi-al-curry-con-riso-basmati.html,"Pollo e gamberi al curry con riso basmati","Piatti Unici","Medio",https://www.giallozafferano.it/images/ricette/8/880/foto_hd/hd650x433_wm.jpg,PT15M,PT30M,PT45M,4,0,0,0,1,0,689,55.8,8,45.7,31.4,6.56,3.2,145,515,5,26,4.4
https://ricette.giallozafferano.it/Pasta-e-ricotta.html,"Pasta e ricotta","Primi piatti","Molto basso",https://www.giallozafferano.it/images/ricette/168/16864/foto_hd/hd650x433_wm.jpg,PT10M,PT15M,PT25M,4,1,1,0,0,0,539,70.7,6.6,22.9,18.3,11.36,2.4,71,472,5,50,4.2
https://ricette.giallozafferano.it/Roselline-di-sfoglia-e-mele.html,"Roselline di sfoglia e mele","Dolci","Molto basso",https://www.giallozafferano.it/images/ricette/167/16792/foto_hd/hd650x433_wm.jpg,PT15M,PT45M,PT60M,12,0,1,0,0,0,291,31.9,14.6,2.3,17.1,6.91,1.6,10,181,5,111,4.3
https://ricette.giallozafferano.it/Pasta-frolla-montata.html,"Pasta frolla montata","Dolci","Basso",https://www.giallozafferano.it/images/ricette/10/1014/foto_hd/hd650x433_wm.jpg,PT20M,PT10M,PT30M,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,17,4.7
https://ricette.giallozafferano.it/Zuppa-di-pesce.html,"Zuppa di pesce","Primi piatti","Elevato",https://www.giallozafferano.it/images/ricette/20/2041/foto_hd/hd650x433_wm.jpg,PT120M,PT60M,PT180M,6,0,0,0,1,0,457,7.6,6.8,55.6,21.5,4.65,1.2,285,357,5,56,4.5
https://ricette.giallozafferano.it/Felafel-Falafel.html,"Felafel (Falafel)","Contorni","Basso",https://www.giallozafferano.it/images/ricette/1/102/foto_hd/hd650x433_wm.jpg,PT30M,PT5M,PT35M,4,0,1,1,1,0,895,69.1,5.7,27.8,56.4,10.54,17.9,0,307,5,38,3.8
https://ricette.giallozafferano.it/Torta-zebrata.html,"Torta zebrata","Dolci","Basso",https://www.giallozafferano.it/images/ricette/210/21049/foto_hd/hd650x433_wm.jpg,PT30M,PT55M,PT85M,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,32,4.2
https://ricette.giallozafferano.it/Costine-al-forno.html,"Costine al forno","Secondi piatti","Medio",https://www.giallozafferano.it/images/ricette/204/20431/foto_hd/hd650x433_wm.jpg,PT15M,PT225M,PT240M,4,0,0,1,1,0,505,32,1.6,42.2,23.2,6.72,3.3,166,487,5,77,4.5
https://ricette.giallozafferano.it/Cake-pop.html,"Cake pops","Dolci","Basso",https://www.giallozafferano.it/images/ricette/15/1569/foto_hd/hd650x433_wm.jpg,PT60M,PT5M,PT65M,30,0,1,0,0,0,131,16.5,13,2.2,6.2,3.33,0.6,25,15,5,34,4
https://ricette.giallozafferano.it/Pasta-al-forno-bianca.html,"Pasta al forno bianca","Primi piatti","Basso",https://www.giallozafferano.it/images/ricette/32/3220/foto_hd/hd650x433_wm.jpg,PT15M,PT25M,PT40M,4,0,0,0,0,0,900,92.9,15.32,38.4,41.6,19.7,6.2,124,7902,5,60,4.4
https://ricette.giallozafferano.it/Muffin-alle-mele.html,"Muffin alle mele","Dolci","Basso",https://www.giallozafferano.it/images/ricette/165/16571/foto_hd/hd650x433_wm.jpg,PT20M,PT30M,PT50M,12,0,1,0,0,0,171,30.4,14.5,5.4,3.1,1.38,1.2,54,34,5,46,4.4
