mbid,artist_mb,tags_mb,listeners_lastfm
f27ec8db-af05-4f36-916e-3d57f91ecf5e,Michael Jackson,rock; pop; american; blues; singer; usa; funk; soul; disco; rnb; composer; américain; lyricist; dance-pop; pop rock; new jack swing; parolier; chanteur; compositeur; classic pop and rock; cool; united states; pop soul; michael-jackson; contemporary rnb; r&b; contemporary r&b,3546966
0ab49580-c84f-44d4-875f-d83760ea2cfe,Maroon 5,rock; pop; dance; funk rock; electropop; dance-pop; adult contemporary; pop rock; rock and indie; slow pop; pop/rock; automod ng; fixme label mess,3507447
ada7a83c-e3e1-40f1-93f9-3e73dbc9298a,Arctic Monkeys,alternative rock; british; uk; britannique; 2007; indie rock; indie; psychedelic pop; garage rock revival; post-punk revival; neo-psychedelia; english; domino; rock and indie,3501680
cc0b7089-c08d-4c10-b6b0-873582c17fd6,System of a Down,political; rock; alternative rock; metal; american; crossover; nu metal; new metal; experimental rock; alternative metal; avant-garde metal; rock and indie,3497648
a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432,U2,rock; electronic; alternative rock; irish; post-punk; band; irlande; ireland; irlandais; pop rock; alternative dance; 1980; classic pop and rock; éire; grammy winner; pop/rock; clean up,3487345
6ffb8ea9-2370-44d8-b678-e9237bbd347b,Kings of Leon,rock; alternative rock; american; usa; indie rock; indie; alternative; southern rock; américain; garage rock revival; pop rock; garage rock; rock and indie; united states,3437638
9fff2f8a-21e6-47de-a2b8-7f449929d43f,Drake,hip hop; pop rap; rapper; contemporary r&b; alternative r&b; trap rap; rap us; hardcore hip; cotm candidate,3379644
5441c29d-3602-4898-b1a1-b77fa23b8e50,David Bowie,rock; pop; alternative rock; experimental; british; singer-songwriter; uk; britannique; soul; glam rock; art rock; psychedelic pop; experimental rock; pop rock; blue-eyed soul; english; classic pop and rock; post-disco; pop/rock; art pop,3354711
d5be5333-4171-427e-8e12-732087c6b78e,The Black Eyed Peas,pop; electropop; dance-pop; pop rap; electro house; fergie; pop and chart; west coast hip hop; will i am; conscious hip hop; a filk artist,3346410
f181961b-20f7-459e-89de-920ef03c7ed0,The Strokes,rock; alternative rock; american; new wave; usa; indie rock; américain; garage rock revival; post-punk revival; garage rock; rock and indie,3262563
45a663b5-b1cb-4a91-bff6-2bef7bbfdd76,Britney Spears,pop; dance; american; usa; electropop; américain; dance-pop; urban pop; electro house; pop and chart; teen pop; contemporary r&b; if you seek amy,3255085
eeb1195b-f213-4ce1-b28c-8565211f8e43,Guns N’ Roses,rock; heavy metal; industrial rock; metal; american; band; hard rock; acoustic rock; pop rock; piano rock; glam metal; classic pop and rock; pop/rock; patience,3241492
aa7a2827-f74b-473c-bd79-03d065835cf7,Franz Ferdinand,rock; pop; scottish; british; post-punk; uk; britannique; indie rock; art rock; post-punk revival; alternative dance; rhapsody online; rock and indie,3203026
9efff43b-3b29-4082-824e-bc82f646f93d,The Doors,rock; american; hard rock; psychedelic rock; blues rock; poetry; psychedelic pop; pop rock; acid rock; classic pop and rock; true classics,3189868
f82bcf78-5b69-4622-a5ef-73800768d9ac,JAY-Z,pop; rap; hip-hop; hip hop; hiphop; pop rap; rapper; us; mashup; hip hop rnb and dance hall; united states; grammy winner; boom bap; east coast hip hop; hardcore hip hop; new york hip hop,3169635
79239441-bfd5-4981-a70c-55c3f15c1287,Madonna,electronic; downtempo; pop; jazz; dance; american; arabic; singer; usa; electropop; américain; dance-pop; chanteur; greatest hits; tell me; pop and chart; multiple ipi; art pop; secret,3102727
83d91898-7763-47d7-b03b-b92132375c47,Pink Floyd,rock; progressive rock; 70s; 80s; 90s; british; uk; band; 60s; britannique; progressive; psychedelic rock; art rock; classic rock; psychedelic pop; space rock; english; rock opera; film soundtrack; classic pop and rock; roger waters; defacing,3081313
6fe07aa5-fec0-4eca-a456-f29bff451b04,Weezer,rock; alternative rock; american; usa; power pop; américain; weezer; pop rock; geek rock; rock opera; nerd rock; rock and indie; irvine,3050491
a66999a7-ae5c-460e-ba94-1a01143ae847,Snow Patrol,alternative rock; scottish; british; uk; indie rock; britpop; pop rock; northern irish; pop and chart; lo-fi indie,2982390
0743b15a-3c32-48c8-ad58-cb325350befa,blink‐182,rock; alternative rock; punk; american; punk rock; usa; alternative; fun-punk; américain; pop rock; pop punk; skate punk; california; travis barker; pop and chart; united states; classic pop punk; california punk,2976416
11ae9fbb-f3d7-4a47-936f-4c0a04d3b3b5,The White Stripes,rock; alternative rock; american; hard rock; indie rock; detroit; blues rock; acoustic rock; garage rock revival; garage rock; rock and indie; 2000's,2956612
69ee3720-a7cb-4402-b48d-a02c366f2bcf,The Cure,rock; synthpop; pop; alternative rock; punk; british; post-punk; new wave; uk; britannique; goth; alternative; gothic; jangle pop; pop rock; gothic rock; english; dark; classic pop and rock,2932819
678d88b2-87b0-403b-b63d-5da7465aecc3,Led Zeppelin,rock; heavy metal; folk; metal; american; british; uk; band; hard rock; usa; folk rock; blues rock; américain; classic rock; pop rock; english; zoo; film soundtrack; classic pop and rock; led zeppelin; persistence; want to listen,2930957
309c62ba-7a22-4277-9f67-4a162526d18a,Beck,rock; electronic; alternative rock; american; usa; indie rock; folk rock; electronica; funk rock; alternative; américain; psychedelic pop; experimental rock; rock and indie; united states; singer/songwriter; lo-fi indie,2918241
3d2b98e5-556f-4451-a3ff-c50ea18d57cb,Aerosmith,rock; heavy metal; metal; american; hard rock; blues rock; album rock; soft rock; pop rock; arena rock; blues-rock; classic pop and rock; pop-metal; medley a b; contemporary pop/rock; classic rock. blues rock,2904687
23a03e33-a603-404e-bcbf-2c00159d7067,The Offspring,rock; alternative rock; 80s; 90s; punk; american; punk rock; post-punk; ska punk; usa; alternative; pop punk; skate punk; california; orange county; 00s; rock and indie; classic pop and rock; epitaph; classic pop punk; california punk; classic punk; 10s; orange county punk; 90s punk; 80s punk,2900065
65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab,Metallica,rock; 80s; heavy metal; 90s; thrash metal; metal; american; seen live; band; hard rock; usa; trash; américain; thrash; symphonic metal; alternative metal; speed metal; california; los angeles; crap; bay area; trash metal; 80s thrash metal; douchebag metal; american thrash metal; rock and indie; metallica; classic metal; 80s metal; classic thrash metal; 90s metal; 80's; 90's; hard'n'heavy; lame; a filk artist; the unforgiving; stopped being good after '97; stopped being good after '88; pompous asses,2894382
ea4dfa26-f633-4da6-a52a-f49ea4897b58,R.E.M.,rock; alternative rock; american; post-punk; usa; power pop; folk rock; indie; américain; classic rock; college rock; jangle pop; pop rock; athens; rock and indie; georgia; pop/rock,2886482
ba853904-ae25-4ebb-89d6-c44cfbd71bd2,Blur,rock; alternative rock; british; uk; britannique; indie rock; britpop; art rock; english; chamber pop; england; rock and indie; hyde_park; damon; albarn; gorillaz graham coxon coxon song 2 woo hoo; baggy / madchester,2872022
cc2c9c3c-b7bc-4b8b-84d8-4fbd8779e493,Adele,pop; jazz; singer; soul; adult contemporary; blue-eyed soul; film soundtrack; pop and chart; pop soul; blue eyed soul; adele; alternative/indie rock; adult alternative pop/rock; english singer,2856839
