NomeCanale;Titolo;Tipo;Genere;Attori;orario
Rai 1;Il commissario Montalbano;(TELEFILM);Poliziesco-giallo;Luca Zingaretti;21.30
Rai 1;Frontiere - Coronavirus;(CULTURA);Cronaca;;23.40
Rai 1;S'è fatta notte;(APPROFONDIMENTO);TVMeteo;;0.40
Rai 1;Rai News 24;(APPROFONDIMENTO);TVMeteo;;1.10
Rai 2;"Stasera tutto è possibile 2019 ""P. 7""";(SVAGO);Gioco, varietà;Stefano De Martino;21.25
Rai 2;"Patriae ""Puntata 9""";(APPROFONDIMENTO);Dibattito, politica;Annalisa Bruchi;0.10
Rai 3;"Report ""Puntata 16""";(CULTURA);Inchiesta, attualità;Sigfrido Ranucci;21.15
Rai 3;Il Grande Torino;(SPORT);Storia del calcio;;23.15
Rai 3;TG3 Linea Notte / Meteo 3;(SPORT);TVMeteo;;0.00
Rete 4;"Quarta Repubblica Ⅱ ""Puntata 29""";(APPROFOND.);Dibattito, politica;Nicola Porro;21.25
Rete 4;Il ricatto;(FILM);Thriller-musica 2013;Elijah Wood;0.50
Rete 4;TG4 Ultima ora;(FILM);TVMeteo;;2.20
Canale 5;Il signore degli anelli - Le due torri;(FILM);Fantastico-avventura 2002;Elijah Wood;21.45
Canale 5;TG5 Notte / Meteo;(FILM);TVMeteo;;0.45
Canale 5;Striscia la notizia - Replica;(DIVERTIMENTO);TVMeteo;;1.25
Italia 1;EmiGratis Ⅲ - Prima serata;(DIVERTIMENTO);Scherzi, viaggi;Pio & Amedeo;21.25
Italia 1;Giù in 60 secondi;(SPORT);Paracadutismo;;0.00
La 7;Il giurato;(FILM);Thriller-giudiziario 1996;Demi Moore;21.20
La 7;Sulle tracce dell'assassino;(FILM);Thriller-poliziesco 1988;"Sidney Poitier All'interno: TG La7";23.30
Tv 8;L'omicidio di Luca Varani;(APPROFONDIMENTO);TVMeteo;;21.25
Nove;Planet Earth - Pianeta Terra;(CULTURA);Ambiente;;21.30
Rai 4;"Runaways Ⅱ ""Episodi 1,2""";(TELEFILM 1ªTv);Fantastico-azione;Rhenzy Feliz ;21.20
Rai 5;"L'altro '900 Ⅲ ""Goffredo Parise""";(CULTURA);Letteratura;;21.15
Rai Movie;Silverado;(FILM);Avventura-western 1985;Kevin Costner ;21.10
Iris;Il sesto giorno;(FILM);Fantascienza 2000;Arnold Schwarzenegger ;21.10
La 5;Rosamunde Pilcher;(TELEFILM);TVMeteo;;21.10
Venti;The Losers;(FILM);Spionaggio-azione 2010;Zoe Saldaña ;21.10
Spike;Water Horse - La leggenda degli abissi;(FILM);Fiabesco-animalista 2007;Alex Etel ;21.30
Cielo;Lady Macbeth;(FILM 1ªTv);Drammatico-romantico 2016;Florence Pugh ;21.20
Paramount Network;Detonator - Gioco mortale;(FILM);Spionaggio-azione 2006;Wesley Snipes ;21.15
